stg_item_cd,stg_item_sub_segment_desc_txt,stg_item_segment_desc_txt,stg_item_category_desc_txt,stg_item_sub_dept_desc_txt,stg_item_dept_desc_txt
787210,Liquids,Hand Wash Dish Wash,Dish Wash,Cleaning Consumables,Household
4264,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
130732,Torch,Torch,Illumination,General Needs,Household
390787,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
401857,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
12697,Soap Powder,Soap Powder,In wash,Laundry,Household
366352,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
850867,Iced Tea,Iced Tea,RTD,Tea,Beverages
121291,Table Salt,Table Salt,Salt,Seasoning & Coconut Cream,Grocery
23092,Prepared Meals,Prepared Meals,Prepared Meals,Baby Foods,Grocery
